gvkey	datadate	fyear	indfmt	consol	popsrc	datafmt	tic	conm	curcd	aco	act	aqc	capx	ceq	che	cogs	cshfd	csho	cshpri	dlc	dltt	dp	epsfi	epsfx	gdwlip	ib	ibadj	invt	lct	mib	niadj	oiadp	oibdp	pstk	recd	rect	rectr	sale	seq	txt	wdp	xint	xpp	xsga	exchg	cik	costat	prcc_f	loc	sic
001382	20041231	2004	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	141.5710	624.9770	0.0000	219.3830	36.4470	317.0060	1805.6650	36.0260	35.9860	36.0260	154.6580	640.1900	139.9440	-2.4700	-2.4700		-89.0230	-89.0230	57.5630	664.7160	0.0000	-89.0230	-54.0030	85.9410	0.0000	1.4870	108.8370	108.8370	2338.9570	36.4470	0.0300		81.8080	141.5710	447.3510	11	0000701345	I	6.5800	USA	4512
001382	20051231	2005	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	392.0000	2559.0000	-258.0000	44.0000	420.0000	1585.0000	4297.0000	31.4880	81.6640	31.4880	211.0000	2749.0000	88.0000	-17.0600	-10.6500		-335.0000	-335.0000	229.0000	2659.0000	0.0000	-537.0000	-88.0000	0.0000	0.0000	10.0000	353.0000	353.0000	5077.0000	420.0000	0.0000		151.0000		780.0000	11	0000701345	I	37.1400	USA	4512
001382	20061231	2006	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	377.0000	3354.0000	0.0000	232.0000	970.0000	2366.0000	9128.0000	93.8210	91.2840	86.4470	95.0000	2907.0000	175.0000	3.3300	3.3200		303.0000	303.0000	223.0000	2712.0000	0.0000	304.0000	585.0000	760.0000	0.0000	8.0000	388.0000	388.0000	11557.0000	970.0000	101.0000		297.0000		1669.0000	11	0000701345	I	53.8500	USA	4512
001382	20071231	2007	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	548.0000	3347.0000	0.0000	603.0000	1439.0000	2176.0000	9320.0000	95.6030	91.8650	91.5360	117.0000	3031.0000	189.0000	4.5200	4.5200		427.0000	427.0000	249.0000	2551.0000	0.0000	427.0000	470.0000	659.0000	0.0000	4.0000	374.0000	374.0000	11700.0000	1439.0000	7.0000		277.0000		1721.0000	11	0000701345	I	14.7100	USA	4512
001382	20081231	2008	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	684.0000	2418.0000	0.0000	1068.0000	-505.0000	1240.0000	10967.0000	100.1680	114.1130	100.1680	362.0000	3634.0000	215.0000	-22.0600	-22.0600	-622.0000	-2210.0000	-2210.0000	201.0000	3044.0000	0.0000	-2210.0000	-746.0000	-531.0000	0.0000	6.0000	293.0000	293.0000	12118.0000	-505.0000	0.0000	-18.0000	259.0000		1682.0000	11	0000701345	I	7.7300	USA	4512
001382	20091231	2009	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	520.0000	2331.0000	0.0000	683.0000	-355.0000	1299.0000	8499.0000	133.0000	161.1030	133.0000	502.0000	4024.0000	242.0000	-1.5400	-1.5400		-205.0000	-205.0000	227.0000	2789.0000	0.0000	-205.0000	183.0000	425.0000	0.0000	8.0000	285.0000	285.0000	10458.0000	-355.0000	-38.0000	-18.0000	314.0000		1534.0000	11	0000701345	I	4.8400	USA	4512
001382	20101231	2010	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	508.0000	2909.0000	0.0000	201.0000	84.0000	1859.0000	9257.0000	201.1310	161.8750	161.4120	397.0000	4003.0000	248.0000	2.6100	2.6100		502.0000	502.0000	231.0000	2840.0000	0.0000	502.0000	785.0000	1033.0000	0.0000	9.0000	311.0000	311.0000	11908.0000	84.0000	0.0000	-6.0000	333.0000		1618.0000	11	0000701345	I	10.0100	USA	4512
001382	20111231	2011	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	540.0000	3049.0000	0.0000	593.0000	150.0000	1947.0000	10652.0000	163.7430	162.1170	162.0280	436.0000	4130.0000	262.0000	0.4400	0.4400		71.0000	71.0000	235.0000	3160.0000	0.0000	71.0000	452.0000	714.0000	0.0000	8.0000	327.0000	327.0000	13055.0000	150.0000	19.0000	-2.0000	335.0000		1689.0000	11	0000701345	I	5.0700	USA	4512
001382	20121231	2012	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	608.0000	3582.0000	0.0000	775.0000	790.0000	2376.0000	10974.0000	203.9780	162.5030	162.3310	417.0000	4376.0000	275.0000	3.2800	3.2800		637.0000	637.0000	300.0000	3303.0000	0.0000	637.0000	896.0000	1171.0000	0.0000	7.0000	298.0000	298.0000	13831.0000	790.0000	0.0000		355.0000		1686.0000	11	0000701345	I	13.5000	USA	4512
001388	20001231	2000	INDL	C	D	STD	AMR1	AMERICAN AIRLINES INC	USD	861.0000	4394.0000		3280.0000	6435.0000	1635.0000	15805.0000		0.0010		309.0000	3764.0000	1068.0000				778.0000	778.0000	656.0000	6761.0000	0.0000	778.0000	1244.0000	2312.0000	0.0000	26.0000	1242.0000	1242.0000	18117.0000	6435.0000	504.0000		281.0000	0.0000		0	0000004515	A		USA	4512
