letter_type,date_trans,cik,Name,Business
UPLOAD,2016-01-28,793733,Skywest Inc,UT
UPLOAD,2016-05-04,92380,Southwest Airlines Co,TX
CORRESP,2016-05-13,92380,Southwest Airlines Co,TX
UPLOAD,2016-05-19,6201,American Airlines Group Inc,TX
UPLOAD,2016-05-19,4515,,
UPLOAD,2016-05-24,92380,Southwest Airlines Co,TX
CORRESP,2016-05-26,6201,American Airlines Group Inc,TX
UPLOAD,2016-06-03,6201,American Airlines Group Inc,TX
UPLOAD,2016-06-03,4515,,
UPLOAD,2016-12-19,894081,Air Transport Services Group Inc,OH
CORRESP,2017-01-09,894081,Air Transport Services Group Inc,OH
UPLOAD,2017-01-11,894081,Air Transport Services Group Inc,OH
UPLOAD,2017-03-22,6201,American Airlines Group Inc,TX
UPLOAD,2017-03-22,4515,,
UPLOAD,2017-03-30,27904,Delta Air Lines Inc,GA
CORRESP,2017-04-03,6201,American Airlines Group Inc,TX
UPLOAD,2017-04-06,92380,Southwest Airlines Co,TX
UPLOAD,2017-04-10,1158463,Jetblue Airways Corp,NY
UPLOAD,2017-04-13,4515,,
UPLOAD,2017-04-13,6201,American Airlines Group Inc,TX
CORRESP,2017-04-13,27904,Delta Air Lines Inc,GA
CORRESP,2017-04-18,92380,Southwest Airlines Co,TX
CORRESP,2017-04-21,1158463,Jetblue Airways Corp,NY
UPLOAD,2017-04-24,92380,Southwest Airlines Co,TX
CORRESP,2017-04-24,6201,American Airlines Group Inc,TX
UPLOAD,2017-05-02,1158463,Jetblue Airways Corp,NY
UPLOAD,2017-05-04,6201,American Airlines Group Inc,TX
UPLOAD,2017-05-04,4515,,
UPLOAD,2017-05-08,27904,Delta Air Lines Inc,GA
UPLOAD,2017-05-09,319687,United Airlines Inc,IL
UPLOAD,2017-05-09,100517,United Continental Holdings Inc,IL
CORRESP,2017-05-22,100517,United Continental Holdings Inc,IL
UPLOAD,2017-06-06,319687,United Airlines Inc,IL
UPLOAD,2017-06-06,100517,United Continental Holdings Inc,IL
UPLOAD,2017-07-24,1498710,Spirit Airlines Inc,FL
CORRESP,2017-08-08,1498710,Spirit Airlines Inc,FL
UPLOAD,2017-08-08,1362468,Allegiant Travel Co,NV
UPLOAD,2017-08-17,1498710,Spirit Airlines Inc,FL
CORRESP,2017-09-13,1362468,Allegiant Travel Co,NV
UPLOAD,2017-10-10,1362468,Allegiant Travel Co,NV
UPLOAD,2017-12-22,1172222,Hawaiian Holdings Inc,HI
CORRESP,2018-01-09,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2018-01-23,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2018-05-14,1362468,Allegiant Travel Co,NV
CORRESP,2018-05-23,1362468,Allegiant Travel Co,NV
UPLOAD,2018-05-29,1362468,Allegiant Travel Co,NV
UPLOAD,2018-06-26,319687,United Airlines Inc,IL
UPLOAD,2018-06-26,100517,United Continental Holdings Inc,IL
CORRESP,2018-06-29,319687,United Airlines Inc,IL
CORRESP,2018-06-29,100517,United Continental Holdings Inc,IL
UPLOAD,2018-07-12,319687,United Airlines Inc,IL
UPLOAD,2018-07-12,100517,United Continental Holdings Inc,IL
UPLOAD,2018-07-16,27904,Delta Air Lines Inc,GA
CORRESP,2018-07-23,319687,United Airlines Inc,IL
CORRESP,2018-07-23,100517,United Continental Holdings Inc,IL
UPLOAD,2018-07-24,766421,Alaska Air Group Inc,WA
CORRESP,2018-08-01,766421,Alaska Air Group Inc,WA
CORRESP,2018-08-02,27904,Delta Air Lines Inc,GA
CORRESP,2018-08-14,27904,Delta Air Lines Inc,GA
UPLOAD,2018-08-29,100517,United Continental Holdings Inc,IL
UPLOAD,2018-08-29,27904,Delta Air Lines Inc,GA
UPLOAD,2018-08-29,319687,United Airlines Inc,IL
CORRESP,2018-09-05,319687,United Airlines Inc,IL
CORRESP,2018-09-05,100517,United Continental Holdings Inc,IL
UPLOAD,2018-09-07,766421,Alaska Air Group Inc,WA
UPLOAD,2018-09-07,100517,United Continental Holdings Inc,IL
